sampleId,result,failureReason
audit-001,SUCCESS,
audit-002,SUCCESS,
audit-003,SUCCESS,
audit-004,SUCCESS,
audit-005,SUCCESS,
audit-006,SUCCESS,
audit-007,SUCCESS,
audit-008,SUCCESS,
audit-009,SUCCESS,
audit-010,SUCCESS,
audit-011,SUCCESS,
audit-012,SUCCESS,
audit-013,SUCCESS,
audit-014,SUCCESS,
audit-015,SUCCESS,
audit-016,SUCCESS,
audit-017,SUCCESS,
audit-018,SUCCESS,
audit-019,SUCCESS,
audit-020,SUCCESS,
audit-021,SUCCESS,
audit-022,SUCCESS,
audit-023,SUCCESS,
audit-024,SUCCESS,
audit-025,SUCCESS,
audit-026,SUCCESS,
audit-027,SUCCESS,
audit-028,SUCCESS,
audit-029,SUCCESS,
audit-030,SUCCESS,
audit-031,SUCCESS,
audit-032,SUCCESS,
audit-033,SUCCESS,
audit-034,SUCCESS,
audit-035,SUCCESS,
audit-036,SUCCESS,
audit-037,SUCCESS,
audit-038,SUCCESS,
audit-039,SUCCESS,
audit-040,SUCCESS,
audit-041,SUCCESS,
audit-042,SUCCESS,
audit-043,SUCCESS,
audit-044,SUCCESS,
audit-045,SUCCESS,
audit-046,SUCCESS,
audit-047,SUCCESS,
audit-048,SUCCESS,
audit-049,SUCCESS,
audit-050,SUCCESS,
audit-051,SUCCESS,
audit-052,SUCCESS,
audit-053,SUCCESS,
audit-054,SUCCESS,
audit-055,SUCCESS,
audit-056,SUCCESS,
audit-057,SUCCESS,
audit-058,FAIL,COORDREF_TRANSFORM_MISSING
audit-059,FAIL,COORDREF_TRANSFORM_MISSING
audit-060,FAIL,CLAUSEID_MISALIGNMENT
