assertionId,status,reason
rej-loc-001,REJECTED,LOCATOR_MISSING
rej-loc-002,REJECTED,LOCATOR_MISSING
rej-loc-003,REJECTED,LOCATOR_MISSING
rej-loc-004,REJECTED,LOCATOR_MISSING
rej-loc-005,REJECTED,LOCATOR_MISSING
rej-loc-006,REJECTED,LOCATOR_MISSING
rej-loc-007,REJECTED,LOCATOR_MISSING
rej-loc-008,REJECTED,LOCATOR_MISSING
rej-loc-009,REJECTED,LOCATOR_MISSING
rej-loc-010,REJECTED,LOCATOR_MISSING
rej-loc-011,REJECTED,LOCATOR_MISSING
rej-loc-012,REJECTED,LOCATOR_MISSING
rej-loc-013,REJECTED,LOCATOR_MISSING
rej-loc-014,REJECTED,LOCATOR_MISSING
rej-loc-015,REJECTED,LOCATOR_MISSING
rej-loc-016,REJECTED,LOCATOR_MISSING
rej-loc-017,REJECTED,LOCATOR_MISSING
rej-loc-018,REJECTED,LOCATOR_MISSING
rej-loc-019,REJECTED,LOCATOR_MISSING
rej-loc-020,REJECTED,LOCATOR_MISSING
rej-loc-021,REJECTED,LOCATOR_MISSING
rej-loc-022,REJECTED,LOCATOR_MISSING
rej-loc-023,REJECTED,LOCATOR_MISSING
rej-loc-024,REJECTED,LOCATOR_MISSING
rej-loc-025,REJECTED,LOCATOR_MISSING
rej-loc-026,REJECTED,LOCATOR_MISSING
rej-loc-027,REJECTED,LOCATOR_MISSING
rej-loc-028,REJECTED,LOCATOR_MISSING
rej-loc-029,REJECTED,LOCATOR_MISSING
rej-loc-030,REJECTED,LOCATOR_MISSING
rej-loc-031,REJECTED,LOCATOR_MISSING
rej-meta-001,REJECTED,METADATA_MISSING
rej-meta-002,REJECTED,METADATA_MISSING
rej-meta-003,REJECTED,METADATA_MISSING
rej-meta-004,REJECTED,METADATA_MISSING
rej-meta-005,REJECTED,METADATA_MISSING
rej-meta-006,REJECTED,METADATA_MISSING
rej-meta-007,REJECTED,METADATA_MISSING
rej-meta-008,REJECTED,METADATA_MISSING
rej-meta-009,REJECTED,METADATA_MISSING
rej-meta-010,REJECTED,METADATA_MISSING
rej-meta-011,REJECTED,METADATA_MISSING
rej-meta-012,REJECTED,METADATA_MISSING
rej-meta-013,REJECTED,METADATA_MISSING
rej-meta-014,REJECTED,METADATA_MISSING
rej-anchor-001,REJECTED,ANCHOR_UNCLEAR
rej-anchor-002,REJECTED,ANCHOR_UNCLEAR
rej-anchor-003,REJECTED,ANCHOR_UNCLEAR
rej-anchor-004,REJECTED,ANCHOR_UNCLEAR
rej-anchor-005,REJECTED,ANCHOR_UNCLEAR
rej-anchor-006,REJECTED,ANCHOR_UNCLEAR
rej-anchor-007,REJECTED,ANCHOR_UNCLEAR
rej-anchor-008,REJECTED,ANCHOR_UNCLEAR
rej-anchor-009,REJECTED,ANCHOR_UNCLEAR
rej-anchor-010,REJECTED,ANCHOR_UNCLEAR
rej-anchor-011,REJECTED,ANCHOR_UNCLEAR
rej-anchor-012,REJECTED,ANCHOR_UNCLEAR
rej-anchor-013,REJECTED,ANCHOR_UNCLEAR
rej-anchor-014,REJECTED,ANCHOR_UNCLEAR
rej-anchor-015,REJECTED,ANCHOR_UNCLEAR
rej-anchor-016,REJECTED,ANCHOR_UNCLEAR
rej-anchor-017,REJECTED,ANCHOR_UNCLEAR
rej-anchor-018,REJECTED,ANCHOR_UNCLEAR
rej-anchor-019,REJECTED,ANCHOR_UNCLEAR
rej-anchor-020,REJECTED,ANCHOR_UNCLEAR
rej-anchor-021,REJECTED,ANCHOR_UNCLEAR
rej-anchor-022,REJECTED,ANCHOR_UNCLEAR
rej-anchor-023,REJECTED,ANCHOR_UNCLEAR
rej-anchor-024,REJECTED,ANCHOR_UNCLEAR
rej-anchor-025,REJECTED,ANCHOR_UNCLEAR
rej-anchor-026,REJECTED,ANCHOR_UNCLEAR
rej-anchor-027,REJECTED,ANCHOR_UNCLEAR
rej-anchor-028,REJECTED,ANCHOR_UNCLEAR
rej-anchor-029,REJECTED,ANCHOR_UNCLEAR
rej-anchor-030,REJECTED,ANCHOR_UNCLEAR
rej-anchor-031,REJECTED,ANCHOR_UNCLEAR
rej-anchor-032,REJECTED,ANCHOR_UNCLEAR
rej-anchor-033,REJECTED,ANCHOR_UNCLEAR
rej-anchor-034,REJECTED,ANCHOR_UNCLEAR
rej-anchor-035,REJECTED,ANCHOR_UNCLEAR
