violationId,ruleId,target,actual,requirement,E_actual,E_clause
V1,R1,Bay-L4-02,spacing = 2.5 m,<= 2.0 m,"D1:p02:bbox(1180,3320,460,280):coordRef=public-grid-2400x3600",S1:p17:clause=KDS-C1
V2,R3,Floor-L3,anchors = 1,>= 2,"D1:p01:bbox(820,1450,520,260):coordRef=public-grid-2400x3600",S2:p09:clause=INT-C2
V3,R3,Floor-L4,anchors = 1,>= 2,"D1:p01:bbox(820,1120,520,260):coordRef=public-grid-2400x3600",S2:p09:clause=INT-C2
V4,R3,Floor-L5,anchors = 1,>= 2,"D1:p01:bbox(820,790,520,260):coordRef=public-grid-2400x3600",S2:p09:clause=INT-C2
V5,R3,Floor-L6,anchors = 1,>= 2,"D1:p01:bbox(820,460,520,260):coordRef=public-grid-2400x3600",S2:p09:clause=INT-C2
V6,R5,Bay-L4-02,extraTie = false (fire wall = 2h),extraTie = true under condition,"D1:p02:bbox(1560,2980,640,300):coordRef=public-grid-2400x3600",S2:p12:clause=INT-C4
V7,R1,Bay-L4-01,spacing = 2.4 m,<= 2.0 m,"D1:p02:bbox(200,3320,460,280):coordRef=public-grid-2400x3600",S1:p17:clause=KDS-C1
V8,R1,Bay-L5-03,spacing = 2.3 m,<= 2.0 m,"D1:p02:bbox(200,2940,460,240):coordRef=public-grid-2400x3600",S1:p17:clause=KDS-C1
V9,R1,Bay-L6-02,spacing = 2.2 m,<= 2.0 m,"D1:p02:bbox(200,2600,460,240):coordRef=public-grid-2400x3600",S1:p17:clause=KDS-C1
V10,R1,Bay-L3-01,spacing = 2.1 m,<= 2.0 m,"D1:p02:bbox(200,2260,460,240):coordRef=public-grid-2400x3600",S1:p17:clause=KDS-C1
V11,R1,Bay-L2-02,spacing = 2.4 m,<= 2.0 m,"D1:p02:bbox(200,1920,460,240):coordRef=public-grid-2400x3600",S1:p17:clause=KDS-C1
V12,R5,Bay-L5-03,extraTie = false (fire wall = 2h),extraTie = true under condition,"D1:p02:bbox(1560,2640,640,300):coordRef=public-grid-2400x3600",S2:p12:clause=INT-C4
V13,R5,Bay-L6-02,extraTie = false (fire wall = 2h),extraTie = true under condition,"D1:p02:bbox(1560,2300,640,300):coordRef=public-grid-2400x3600",S2:p12:clause=INT-C4
